"","state","DisasterCategory","Year","frequency","TotalProjectCost"
"1","AK","Biological",2020,9912,41524639731.12
"2","AK","Natural Disasters",2018,260,550908918.51
"3","AK","Natural Disasters",2020,80,198840758
"4","AK","Natural Disasters",2022,21,4657999.96
"5","AK","Natural Disasters",2023,200,136672835.7
"6","AK","Severe Weather",2017,6,14973695.45
"7","AK","Severe Weather",2021,30,11271873.05
"8","AK","Severe Weather",2022,233,179107038.77
"9","AL","Biological",2020,18425,10479737038.3801
"10","AL","Severe Weather",2018,281,343045795.9
"11","AL","Severe Weather",2019,595,153083151.63
"12","AL","Severe Weather",2020,5689,6611041174.18004
"13","AL","Severe Weather",2021,200,111276137.6
"14","AL","Severe Weather",2023,779,410689305.680002
"15","AR","Biological",2020,21128,24534609943.0406
"16","AR","Natural Disasters",2019,1183,1369989510.04
"17","AR","Severe Weather",2020,684,133334808.03
"18","AR","Severe Weather",2023,512,354963986.37
"19","AS","Biological",2020,80,111542189.55
"20","AS","Severe Weather",2018,195,56512592.7
"21","AS","Severe Weather",2022,6,2311362.5
"22","AZ","Biological",2020,14437,40591450144.8805
"23","AZ","Natural Disasters",2018,1,687414.97
"24","AZ","Natural Disasters",2021,36,17928149.19
"25","AZ","Natural Disasters",2022,1,977584.55
"26","AZ","Severe Weather",2018,2,9279725.62
"27","AZ","Severe Weather",2019,1,738255.83
"28","AZ","Severe Weather",2022,1,1071802.89
"29","AZ","Severe Weather",2023,2,161300.38
"30","CA","Biological",2020,140418,856241211073.075
"31","CA","Natural Disasters",2017,1650,6564954288.69
"32","CA","Natural Disasters",2018,410,7720113404.38001
"33","CA","Natural Disasters",2020,3660,15740334625.08
"34","CA","Natural Disasters",2021,378,2354095193.98
"35","CA","Natural Disasters",2022,28293,20447444395.3403
"36","CA","Severe Weather",2019,2576,1834274176.19
"37","CA","Severe Weather",2023,17836,31969649381.3701
"38","CO","Biological",2020,21186,145479373073.101
"39","CO","Natural Disasters",2020,48,95711589.9
"40","CO","Natural Disasters",2021,21,58074826.39
"41","CO","Natural Disasters",2023,588,195608589.96
"42","CT","Biological",2020,4896,11628629110.32
"43","CT","Severe Weather",2018,100,63094879.96
"44","CT","Severe Weather",2020,1490,424126333.1
"45","CT","Severe Weather",2021,290,96532500.1300002
"46","DC","Biological",2020,69,1050413359.2
"47","DC","Others",2021,11,6227456.2
"48","DE","Biological",2020,237,840130697.04
"49","DE","Severe Weather",2020,54,7557298.38
"50","DE","Severe Weather",2021,24,6122020.51
"51","FL","Biological",2020,70847,342585150019.147
"52","FL","Natural Disasters",2023,20,123173472.9
"53","FL","Others",2021,9,97412030.33
"54","FL","Severe Weather",2017,81561,183589697557.907
"55","FL","Severe Weather",2018,5418,46594212326.1
"56","FL","Severe Weather",2019,2674,1806578145.68001
"57","FL","Severe Weather",2020,2741,3189301899.01002
"58","FL","Severe Weather",2021,980,88680033.35
"59","FL","Severe Weather",2022,87715,189579416606.734
"60","FL","Severe Weather",2023,15435,41785829609.6501
"61","GA","Biological",2020,68640,182044341961.601
"62","GA","Severe Weather",2016,2440,2314846497.19999
"63","GA","Severe Weather",2017,81539,25772314453.0808
"64","GA","Severe Weather",2018,14835,13016790279.81
"65","GA","Severe Weather",2020,945,360641707.44
"66","GA","Severe Weather",2021,198,313394828.04
"67","GA","Severe Weather",2023,3003,1910300803.07
"68","GU","Biological",2020,28,61357125.22
"69","GU","Severe Weather",2018,25,11166518.57
"70","GU","Severe Weather",2019,13,981221.63
"71","GU","Severe Weather",2023,144,84879682.52
"72","HI","Biological",2020,650,1745788788.65
"73","HI","Natural Disasters",2018,100,207021258.88
"74","HI","Natural Disasters",2021,10,7916607.91
"75","HI","Natural Disasters",2023,150,683144216.26
"76","HI","Severe Weather",2018,84,84509665.38
"77","HI","Severe Weather",2020,31,3695184.02
"78","HI","Severe Weather",2021,36,14730564.32
"79","IA","Biological",2020,71913,60899993390.5874
"80","IA","Natural Disasters",2019,34561,19658296119.9701
"81","IA","Natural Disasters",2023,161,17145629.62
"82","IA","Severe Weather",2018,3803,748109731.789999
"83","IA","Severe Weather",2020,6096,5157851558.44
"84","IA","Severe Weather",2021,1175,142275713.75
"85","ID","Biological",2020,13034,12899908482.09
"86","ID","Natural Disasters",2019,144,14005842.96
"87","ID","Severe Weather",2021,124,63522549.4
"88","IL","Biological",2020,180234,213775762632.237
"89","IL","Natural Disasters",2019,10976,2473255555.11999
"90","IL","Severe Weather",2021,98,3909050.32
"91","IL","Severe Weather",2023,2970,354725467.359999
"92","IN","Biological",2020,113181,34840773617.3404
"93","IN","Natural Disasters",2018,4433,558235509.479998
"94","IN","Severe Weather",2023,559,213848291.02
"95","KS","Biological",2020,37877,69042865737.2303
"96","KS","Severe Weather",2017,40,14888903.28
"97","KS","Severe Weather",2018,1656,112764171.16
"98","KS","Severe Weather",2019,39550,5849797608.20001
"99","KS","Severe Weather",2021,8415,1350799619.94999
"100","KS","Severe Weather",2022,160,411753006.6
"101","KS","Severe Weather",2023,1008,274284437.28
"102","KY","Biological",2020,106080,35622538039.2008
"103","KY","Natural Disasters",2018,3615,2054157938.04
"104","KY","Natural Disasters",2021,4550,5031125370.49999
"105","KY","Natural Disasters",2022,4680,6298591619.59999
"106","KY","Natural Disasters",2023,946,397144275.44
"107","KY","Severe Weather",2019,6893,6214073203.10997
"108","KY","Severe Weather",2020,1485,2139864957.36
"109","KY","Severe Weather",2021,7085,7976449505.91996
"110","KY","Severe Weather",2023,11704,2899041841.51995
"111","LA","Biological",2020,40187,192286423110.53
"112","LA","Natural Disasters",2019,711,389883790.66
"113","LA","Natural Disasters",2021,154,89057863.37
"114","LA","Others",2023,145,166500000
"115","LA","Severe Weather",2017,2152,319170404.880001
"116","LA","Severe Weather",2019,4410,1866842436.00999
"117","LA","Severe Weather",2020,62700,219501046570.994
"118","LA","Severe Weather",2021,50752,197234852116.465
"119","MA","Biological",2020,14911,61504289254.7196
"120","MA","Severe Weather",2018,1688,576694363.670001
"121","MA","Severe Weather",2022,430,163841689.8
"122","MA","Severe Weather",2023,56,0
"123","MD","Biological",2020,10392,58687985382.4803
"124","MD","Natural Disasters",2018,48,44697422.46
"125","MD","Severe Weather",2018,44,20094456.1
"126","MD","Severe Weather",2020,39,46251220.77
"127","ME","Biological",2020,160810,262472562444.074
"128","ME","Natural Disasters",2023,835,128047573.87
"129","ME","Severe Weather",2017,3068,140621159.12
"130","ME","Severe Weather",2018,11,9325639.32
"131","ME","Severe Weather",2021,78,22669556.16
"132","ME","Severe Weather",2022,444,27119515.14
"133","ME","Severe Weather",2023,668,449932
"134","MI","Biological",2020,85540,138995992179.78
"135","MI","Natural Disasters",2018,90,133002667.62
"136","MI","Natural Disasters",2020,295,178629368.95
