"","state","DisasterCategory","Year","frequency","TotalProjectCost","latitude","longitude","name"
"1","AK","Natural Disasters",2023,200,136672835.7,63.588753,-154.493062,"Alaska"
"2","AK","Natural Disasters",2022,21,4657999.96,63.588753,-154.493062,"Alaska"
"3","AK","Severe Weather",2022,233,179107038.77,63.588753,-154.493062,"Alaska"
"4","AK","Natural Disasters",2020,80,198840758,63.588753,-154.493062,"Alaska"
"5","AK","Natural Disasters",2018,260,550908918.51,63.588753,-154.493062,"Alaska"
"6","AK","Biological",2020,9912,41524639731.12,63.588753,-154.493062,"Alaska"
"7","AK","Severe Weather",2021,30,11271873.05,63.588753,-154.493062,"Alaska"
"8","AK","Severe Weather",2017,6,14973695.45,63.588753,-154.493062,"Alaska"
"9","AL","Severe Weather",2019,595,153083151.63,32.318231,-86.902298,"Alabama"
"10","AL","Severe Weather",2018,281,343045795.9,32.318231,-86.902298,"Alabama"
"11","AL","Severe Weather",2023,779,410689305.680002,32.318231,-86.902298,"Alabama"
"12","AL","Severe Weather",2021,200,111276137.6,32.318231,-86.902298,"Alabama"
"13","AL","Biological",2020,18425,10479737038.3801,32.318231,-86.902298,"Alabama"
"14","AL","Severe Weather",2020,5689,6611041174.18004,32.318231,-86.902298,"Alabama"
"15","AR","Severe Weather",2023,512,354963986.37,35.20105,-91.831833,"Arkansas"
"16","AR","Severe Weather",2020,684,133334808.03,35.20105,-91.831833,"Arkansas"
"17","AR","Natural Disasters",2019,1183,1369989510.04,35.20105,-91.831833,"Arkansas"
"18","AR","Biological",2020,21128,24534609943.0406,35.20105,-91.831833,"Arkansas"
"19","AZ","Natural Disasters",2018,1,687414.97,34.048928,-111.093731,"Arizona"
"20","AZ","Natural Disasters",2021,36,17928149.19,34.048928,-111.093731,"Arizona"
"21","AZ","Severe Weather",2018,2,9279725.62,34.048928,-111.093731,"Arizona"
"22","AZ","Severe Weather",2019,1,738255.83,34.048928,-111.093731,"Arizona"
"23","AZ","Biological",2020,14437,40591450144.8805,34.048928,-111.093731,"Arizona"
"24","AZ","Severe Weather",2023,2,161300.38,34.048928,-111.093731,"Arizona"
"25","AZ","Natural Disasters",2022,1,977584.55,34.048928,-111.093731,"Arizona"
"26","AZ","Severe Weather",2022,1,1071802.89,34.048928,-111.093731,"Arizona"
"27","CA","Severe Weather",2019,2576,1834274176.19,36.778261,-119.417932,"California"
"28","CA","Severe Weather",2023,17836,31969649381.3701,36.778261,-119.417932,"California"
"29","CA","Biological",2020,140418,856241211073.075,36.778261,-119.417932,"California"
"30","CA","Natural Disasters",2017,1650,6564954288.69,36.778261,-119.417932,"California"
"31","CA","Natural Disasters",2018,410,7720113404.38001,36.778261,-119.417932,"California"
"32","CA","Natural Disasters",2022,28293,20447444395.3403,36.778261,-119.417932,"California"
"33","CA","Natural Disasters",2021,378,2354095193.98,36.778261,-119.417932,"California"
"34","CA","Natural Disasters",2020,3660,15740334625.08,36.778261,-119.417932,"California"
"35","CO","Natural Disasters",2020,48,95711589.9,39.550051,-105.782067,"Colorado"
"36","CO","Natural Disasters",2021,21,58074826.39,39.550051,-105.782067,"Colorado"
"37","CO","Biological",2020,21186,145479373073.101,39.550051,-105.782067,"Colorado"
"38","CO","Natural Disasters",2023,588,195608589.96,39.550051,-105.782067,"Colorado"
"39","CT","Severe Weather",2020,1490,424126333.1,41.603221,-73.087749,"Connecticut"
"40","CT","Severe Weather",2021,290,96532500.1300002,41.603221,-73.087749,"Connecticut"
"41","CT","Biological",2020,4896,11628629110.32,41.603221,-73.087749,"Connecticut"
"42","CT","Severe Weather",2018,100,63094879.96,41.603221,-73.087749,"Connecticut"
"43","DC","Biological",2020,69,1050413359.2,38.905985,-77.033418,"District of Columbia"
"44","DC","Others",2021,11,6227456.2,38.905985,-77.033418,"District of Columbia"
"45","DE","Severe Weather",2021,24,6122020.51,38.910832,-75.52767,"Delaware"
"46","DE","Severe Weather",2020,54,7557298.38,38.910832,-75.52767,"Delaware"
"47","DE","Biological",2020,237,840130697.04,38.910832,-75.52767,"Delaware"
"48","FL","Biological",2020,70847,342585150019.147,27.664827,-81.515754,"Florida"
"49","FL","Others",2021,9,97412030.33,27.664827,-81.515754,"Florida"
"50","FL","Severe Weather",2017,81561,183589697557.907,27.664827,-81.515754,"Florida"
"51","FL","Severe Weather",2020,2741,3189301899.01002,27.664827,-81.515754,"Florida"
"52","FL","Severe Weather",2021,980,88680033.35,27.664827,-81.515754,"Florida"
"53","FL","Severe Weather",2022,87715,189579416606.734,27.664827,-81.515754,"Florida"
"54","FL","Natural Disasters",2023,20,123173472.9,27.664827,-81.515754,"Florida"
"55","FL","Severe Weather",2019,2674,1806578145.68001,27.664827,-81.515754,"Florida"
"56","FL","Severe Weather",2023,15435,41785829609.6501,27.664827,-81.515754,"Florida"
"57","FL","Severe Weather",2018,5418,46594212326.1,27.664827,-81.515754,"Florida"
"58","GA","Severe Weather",2017,81539,25772314453.0808,32.157435,-82.907123,"Georgia"
"59","GA","Severe Weather",2018,14835,13016790279.81,32.157435,-82.907123,"Georgia"
"60","GA","Severe Weather",2016,2440,2314846497.19999,32.157435,-82.907123,"Georgia"
"61","GA","Severe Weather",2021,198,313394828.04,32.157435,-82.907123,"Georgia"
"62","GA","Severe Weather",2023,3003,1910300803.07,32.157435,-82.907123,"Georgia"
"63","GA","Biological",2020,68640,182044341961.601,32.157435,-82.907123,"Georgia"
"64","GA","Severe Weather",2020,945,360641707.44,32.157435,-82.907123,"Georgia"
"65","HI","Natural Disasters",2023,150,683144216.26,19.898682,-155.665857,"Hawaii"
"66","HI","Severe Weather",2018,84,84509665.38,19.898682,-155.665857,"Hawaii"
"67","HI","Severe Weather",2020,31,3695184.02,19.898682,-155.665857,"Hawaii"
"68","HI","Natural Disasters",2018,100,207021258.88,19.898682,-155.665857,"Hawaii"
"69","HI","Natural Disasters",2021,10,7916607.91,19.898682,-155.665857,"Hawaii"
"70","HI","Biological",2020,650,1745788788.65,19.898682,-155.665857,"Hawaii"
"71","HI","Severe Weather",2021,36,14730564.32,19.898682,-155.665857,"Hawaii"
"72","IA","Biological",2020,71913,60899993390.5874,41.878003,-93.097702,"Iowa"
"73","IA","Severe Weather",2020,6096,5157851558.44,41.878003,-93.097702,"Iowa"
"74","IA","Natural Disasters",2019,34561,19658296119.9701,41.878003,-93.097702,"Iowa"
"75","IA","Natural Disasters",2023,161,17145629.62,41.878003,-93.097702,"Iowa"
"76","IA","Severe Weather",2021,1175,142275713.75,41.878003,-93.097702,"Iowa"
"77","IA","Severe Weather",2018,3803,748109731.789999,41.878003,-93.097702,"Iowa"
"78","ID","Biological",2020,13034,12899908482.09,44.068202,-114.742041,"Idaho"
"79","ID","Natural Disasters",2019,144,14005842.96,44.068202,-114.742041,"Idaho"
"80","ID","Severe Weather",2021,124,63522549.4,44.068202,-114.742041,"Idaho"
"81","IL","Natural Disasters",2019,10976,2473255555.11999,40.633125,-89.398528,"Illinois"
"82","IL","Severe Weather",2021,98,3909050.32,40.633125,-89.398528,"Illinois"
"83","IL","Biological",2020,180234,213775762632.237,40.633125,-89.398528,"Illinois"
"84","IL","Severe Weather",2023,2970,354725467.359999,40.633125,-89.398528,"Illinois"
"85","IN","Natural Disasters",2018,4433,558235509.479998,40.551217,-85.602364,"Indiana"
"86","IN","Biological",2020,113181,34840773617.3404,40.551217,-85.602364,"Indiana"
"87","IN","Severe Weather",2023,559,213848291.02,40.551217,-85.602364,"Indiana"
"88","KS","Severe Weather",2019,39550,5849797608.20001,39.011902,-98.484246,"Kansas"
"89","KS","Biological",2020,37877,69042865737.2303,39.011902,-98.484246,"Kansas"
"90","KS","Severe Weather",2018,1656,112764171.16,39.011902,-98.484246,"Kansas"
"91","KS","Severe Weather",2023,1008,274284437.28,39.011902,-98.484246,"Kansas"
"92","KS","Severe Weather",2021,8415,1350799619.94999,39.011902,-98.484246,"Kansas"
"93","KS","Severe Weather",2017,40,14888903.28,39.011902,-98.484246,"Kansas"
"94","KS","Severe Weather",2022,160,411753006.6,39.011902,-98.484246,"Kansas"
"95","KY","Natural Disasters",2018,3615,2054157938.04,37.839333,-84.270018,"Kentucky"
"96","KY","Biological",2020,106080,35622538039.2008,37.839333,-84.270018,"Kentucky"
"97","KY","Natural Disasters",2023,946,397144275.44,37.839333,-84.270018,"Kentucky"
"98","KY","Natural Disasters",2021,4550,5031125370.49999,37.839333,-84.270018,"Kentucky"
"99","KY","Severe Weather",2023,11704,2899041841.51995,37.839333,-84.270018,"Kentucky"
"100","KY","Severe Weather",2019,6893,6214073203.10997,37.839333,-84.270018,"Kentucky"
"101","KY","Severe Weather",2020,1485,2139864957.36,37.839333,-84.270018,"Kentucky"
"102","KY","Natural Disasters",2022,4680,6298591619.59999,37.839333,-84.270018,"Kentucky"
"103","KY","Severe Weather",2021,7085,7976449505.91996,37.839333,-84.270018,"Kentucky"
"104","LA","Biological",2020,40187,192286423110.53,31.244823,-92.145024,"Louisiana"
"105","LA","Severe Weather",2017,2152,319170404.880001,31.244823,-92.145024,"Louisiana"
"106","LA","Severe Weather",2019,4410,1866842436.00999,31.244823,-92.145024,"Louisiana"
"107","LA","Severe Weather",2020,62700,219501046570.994,31.244823,-92.145024,"Louisiana"
"108","LA","Natural Disasters",2021,154,89057863.37,31.244823,-92.145024,"Louisiana"
"109","LA","Others",2023,145,166500000,31.244823,-92.145024,"Louisiana"
"110","LA","Natural Disasters",2019,711,389883790.66,31.244823,-92.145024,"Louisiana"
"111","LA","Severe Weather",2021,50752,197234852116.465,31.244823,-92.145024,"Louisiana"
"112","MA","Biological",2020,14911,61504289254.7196,42.407211,-71.382437,"Massachusetts"
"113","MA","Severe Weather",2023,56,0,42.407211,-71.382437,"Massachusetts"
"114","MA","Severe Weather",2018,1688,576694363.670001,42.407211,-71.382437,"Massachusetts"
"115","MA","Severe Weather",2022,430,163841689.8,42.407211,-71.382437,"Massachusetts"
"116","MD","Severe Weather",2018,44,20094456.1,39.045755,-76.641271,"Maryland"
"117","MD","Natural Disasters",2018,48,44697422.46,39.045755,-76.641271,"Maryland"
"118","MD","Severe Weather",2020,39,46251220.77,39.045755,-76.641271,"Maryland"
"119","MD","Biological",2020,10392,58687985382.4803,39.045755,-76.641271,"Maryland"
"120","ME","Severe Weather",2017,3068,140621159.12,45.253783,-69.445469,"Maine"
"121","ME","Severe Weather",2018,11,9325639.32,45.253783,-69.445469,"Maine"
"122","ME","Natural Disasters",2023,835,128047573.87,45.253783,-69.445469,"Maine"
"123","ME","Severe Weather",2023,668,449932,45.253783,-69.445469,"Maine"
"124","ME","Severe Weather",2021,78,22669556.16,45.253783,-69.445469,"Maine"
"125","ME","Biological",2020,160810,262472562444.074,45.253783,-69.445469,"Maine"
"126","ME","Severe Weather",2022,444,27119515.14,45.253783,-69.445469,"Maine"
"127","MI","Biological",2020,85540,138995992179.78,44.314844,-85.602364,"Michigan"
"128","MI","Natural Disasters",2018,90,133002667.62,44.314844,-85.602364,"Michigan"
"129","MI","Severe Weather",2021,120,243101001.6,44.314844,-85.602364,"Michigan"
"130","MI","Natural Disasters",2020,295,178629368.95,44.314844,-85.602364,"Michigan"
"131","MN","Biological",2020,50506,61278099878.9199,46.729553,-94.6859,"Minnesota"
"132","MN","Natural Disasters",2023,6630,323859189.679998,46.729553,-94.6859,"Minnesota"
"133","MN","Severe Weather",2022,6463,594311827.64,46.729553,-94.6859,"Minnesota"
"134","MN","Natural Disasters",2018,10449,948734437.339993,46.729553,-94.6859,"Minnesota"
"135","MN","Natural Disasters",2022,4731,543362707.749998,46.729553,-94.6859,"Minnesota"
"136","MN","Natural Disasters",2019,40920,5936452758.5,46.729553,-94.6859,"Minnesota"
"137","MO","Severe Weather",2023,2805,781563385.350001,37.964253,-91.831833,"Missouri"
"138","MO","Biological",2020,97520,158288490849.404,37.964253,-91.831833,"Missouri"
"139","MO","Severe Weather",2021,2366,464982455.910002,37.964253,-91.831833,"Missouri"
"140","MO","Natural Disasters",2019,2080,593995612.8,37.964253,-91.831833,"Missouri"
"141","MO","Natural Disasters",2022,220,137662484.24,37.964253,-91.831833,"Missouri"
"142","MO","Severe Weather",2019,44544,9107349871.41031,37.964253,-91.831833,"Missouri"
"143","MO","Natural Disasters",2017,13805,6474350556.30001,37.964253,-91.831833,"Missouri"
"144","MO","Severe Weather",2020,494,183444923.43,37.964253,-91.831833,"Missouri"
"145","MS","Biological",2020,43575,32502809855.4191,32.354668,-89.398528,"Mississippi"
"146","MS","Others",2022,15,8179343.32,32.354668,-89.398528,"Mississippi"
"147","MS","Severe Weather",2017,186,87722064.48,32.354668,-89.398528,"Mississippi"
"148","MS","Severe Weather",2023,1243,1487850326.24,32.354668,-89.398528,"Mississippi"
"149","MS","Severe Weather",2018,341,90320074.46,32.354668,-89.398528,"Mississippi"
"150","MS","Severe Weather",2019,3383,1794108455.65002,32.354668,-89.398528,"Mississippi"
"151","MS","Severe Weather",2020,4179,2571616101.03,32.354668,-89.398528,"Mississippi"
"152","MS","Severe Weather",2021,12388,3591078290.81995,32.354668,-89.398528,"Mississippi"
"153","MT","Natural Disasters",2018,208,37142237.03,46.879682,-110.362566,"Montana"
"154","MT","Natural Disasters",2019,80,11275092.16,46.879682,-110.362566,"Montana"
"155","MT","Natural Disasters",2021,8,11146054.56,46.879682,-110.362566,"Montana"
"156","MT","Natural Disasters",2022,245,366843472.38,46.879682,-110.362566,"Montana"
"157","MT","Natural Disasters",2023,196,47426936.9,46.879682,-110.362566,"Montana"
"158","MT","Others",2021,20,20873512.95,46.879682,-110.362566,"Montana"
"159","MT","Biological",2020,12801,5096451911.67999,46.879682,-110.362566,"Montana"
"160","NC","Biological",2020,83210,260996325431.203,35.759573,-79.0193,"North Carolina"
"161","NC","Severe Weather",2018,30466,55581464656.13,35.759573,-79.0193,"North Carolina"
"162","NC","Severe Weather",2019,4480,2689291795.96001,35.759573,-79.0193,"North Carolina"
"163","NC","Severe Weather",2020,3700,1634614672.35001,35.759573,-79.0193,"North Carolina"
"164","NC","Severe Weather",2021,462,438378998.53,35.759573,-79.0193,"North Carolina"
"165","NC","Severe Weather",2022,3535,238223974.21,35.759573,-79.0193,"North Carolina"
"166","ND","Natural Disasters",2017,264,74339623.38,47.551493,-101.002012,"North Dakota"
"167","ND","Natural Disasters",2019,1648,465865025.38,47.551493,-101.002012,"North Dakota"
"168","ND","Natural Disasters",2020,1000,233982481.2,47.551493,-101.002012,"North Dakota"
"169","ND","Natural Disasters",2023,756,123166590.12,47.551493,-101.002012,"North Dakota"
"170","ND","Severe Weather",2020,60,16998982.02,47.551493,-101.002012,"North Dakota"
"171","ND","Severe Weather",2021,108,26920463.94,47.551493,-101.002012,"North Dakota"
"172","ND","Severe Weather",2022,4013,3466563185.74998,47.551493,-101.002012,"North Dakota"
"173","ND","Biological",2020,9397,11534088273.94,47.551493,-101.002012,"North Dakota"
"174","NE","Biological",2020,45758,39544049965.1507,41.492537,-99.901813,"Nebraska"
"175","NE","Natural Disasters",2019,45748,52260110022.6894,41.492537,-99.901813,"Nebraska"
"176","NE","Severe Weather",2018,1006,344851298.819999,41.492537,-99.901813,"Nebraska"
"177","NE","Severe Weather",2021,814,692189003.620001,41.492537,-99.901813,"Nebraska"
"178","NE","Severe Weather",2022,400,281908661.4,41.492537,-99.901813,"Nebraska"
"179","NH","Natural Disasters",2021,50,24811358.72,43.193852,-71.572395,"New Hampshire"
"180","NH","Natural Disasters",2023,357,118683151.16,43.193852,-71.572395,"New Hampshire"
"181","NH","Severe Weather",2017,630,106383148.86,43.193852,-71.572395,"New Hampshire"
"182","NH","Severe Weather",2018,179,12399913.38,43.193852,-71.572395,"New Hampshire"
"183","NH","Severe Weather",2019,13,4775099.88,43.193852,-71.572395,"New Hampshire"
"184","NH","Severe Weather",2021,16,2478346.42,43.193852,-71.572395,"New Hampshire"
"185","NH","Severe Weather",2022,168,14119311.44,43.193852,-71.572395,"New Hampshire"
"186","NH","Biological",2020,3340,3286403307.50001,43.193852,-71.572395,"New Hampshire"
"187","NJ","Biological",2020,39905,77912168708.9203,40.058324,-74.405661,"New Jersey"
"188","NJ","Severe Weather",2023,27,10121082.73,40.058324,-74.405661,"New Jersey"
"189","NJ","Severe Weather",2018,1596,245321972.7,40.058324,-74.405661,"New Jersey"
"190","NJ","Severe Weather",2020,3135,507163522.469999,40.058324,-74.405661,"New Jersey"
"191","NJ","Severe Weather",2021,12254,7112483181.06004,40.058324,-74.405661,"New Jersey"
"192","NM","Natural Disasters",2017,1,16328848.61,34.97273,-105.032363,"New Mexico"
"193","NM","Natural Disasters",2022,546,1955612662.99,34.97273,-105.032363,"New Mexico"
"194","NM","Biological",2020,13599,33861861187.2699,34.97273,-105.032363,"New Mexico"
"195","NV","Biological",2020,3960,8283566151.96002,38.80261,-116.419389,"Nevada"
"196","NV","Natural Disasters",2023,84,82413542.52,38.80261,-116.419389,"Nevada"
"197","NY","Biological",2020,144642,997301135419.16,43.299428,-74.217933,"New York"
"198","NY","Natural Disasters",2018,546,285229446.25,43.299428,-74.217933,"New York"
"199","NY","Natural Disasters",2023,72,0,43.299428,-74.217933,"New York"
"200","NY","Severe Weather",2019,3510,1992868204.14,43.299428,-74.217933,"New York"
"201","NY","Natural Disasters",2017,640,270306437.84,43.299428,-74.217933,"New York"
"202","NY","Severe Weather",2020,1484,3168054144.57,43.299428,-74.217933,"New York"
"203","NY","Severe Weather",2021,5104,5316527634.77,43.299428,-74.217933,"New York"
"204","NY","Severe Weather",2022,2935,242965560.43,43.299428,-74.217933,"New York"
"205","NY","Severe Weather",2023,873,453984042.87,43.299428,-74.217933,"New York"
"206","OH","Natural Disasters",2018,5456,1384922860.64001,40.417287,-82.907123,"Ohio"
"207","OH","Natural Disasters",2019,3822,1423721199.80999,40.417287,-82.907123,"Ohio"
"208","OH","Severe Weather",2019,516,187886174.76,40.417287,-82.907123,"Ohio"
"209","OH","Biological",2020,74800,84783124669.7621,40.417287,-82.907123,"Ohio"
"210","OK","Biological",2020,38199,37642569218.8506,35.007752,-97.092877,"Oklahoma"
"211","OK","Severe Weather",2019,11514,4891441654.96005,35.007752,-97.092877,"Oklahoma"
